Nation,Time,Confirmed Case,Death,Recover,timestamp
MALAWI,2020-04-03 14:30:10,3.0,0.0,0.0,8260210
MALAWI,2020-04-03 14:30:11,3.0,0.0,0.0,8260211
MALAWI,2020-04-03 17:30:12,3.0,0.0,0.0,8271012
MALAWI,2020-04-03 20:30:12,3.0,0.0,0.0,8281812
MALAWI,2020-04-03 23:30:19,3.0,0.0,0.0,8292619
MALAWI,2020-04-04 08:30:14,3.0,0.0,0.0,8325014
MALAWI,2020-04-04 11:30:14,3.0,0.0,0.0,8335814
MALAWI,2020-04-04 14:30:16,3.0,0.0,0.0,8346616
MALAWI,2020-04-04 17:30:18,4.0,0.0,0.0,8357418
MALAWI,2020-04-04 20:30:33,4.0,0.0,0.0,8368233
MALAWI,2020-04-04 23:30:05,4.0,0.0,0.0,8379005
MALAWI,2020-04-05 08:30:07,4.0,0.0,0.0,8411407
MALAWI,2020-04-05 11:30:03,4.0,0.0,0.0,8422203
MALAWI,2020-04-05 14:30:04,4.0,0.0,0.0,8433004
MALAWI,2020-04-05 17:40:33,4.0,0.0,0.0,8444433
MALAWI,2020-04-05 20:33:28,4.0,0.0,0.0,8454808
MALAWI,2020-04-05 23:30:02,4.0,0.0,0.0,8465402
MALAWI,2020-04-06 08:37:49,4.0,0.0,0.0,8498269
MALAWI,2020-04-06 11:30:05,4.0,0.0,0.0,8508605
MALAWI,2020-04-06 14:44:21,4.0,0.0,0.0,8520261
MALAWI,2020-04-06 17:30:04,4.0,0.0,0.0,8530204
MALAWI,2020-04-06 21:00:44,5.0,0.0,0.0,8542844
MALAWI,2020-04-07 00:00:03,5.0,0.0,0.0,8553603
MALAWI,2020-04-07 09:00:04,5.0,0.0,0.0,8586004
MALAWI,2020-04-07 12:15:51,5.0,0.0,0.0,8597751
MALAWI,2020-04-07 15:59:55,8.0,1.0,0.0,8611195
MALAWI,2020-04-07 18:03:46,8.0,1.0,0.0,8618626
MALAWI,2020-04-07 21:32:15,8.0,1.0,0.0,8631135
