Nation,Time,Confirmed Case,Death,Recover,timestamp
VIETNAM,2020-04-03 14:30:10,233.0,0.0,85.0,8260210
VIETNAM,2020-04-03 14:30:11,233.0,0.0,85.0,8260211
VIETNAM,2020-04-03 17:30:12,237.0,0.0,85.0,8271012
VIETNAM,2020-04-03 20:30:12,237.0,0.0,85.0,8281812
VIETNAM,2020-04-03 23:30:19,237.0,0.0,85.0,8292619
VIETNAM,2020-04-04 08:30:14,239.0,0.0,85.0,8325014
VIETNAM,2020-04-04 11:30:14,239.0,0.0,85.0,8335814
VIETNAM,2020-04-04 14:30:16,239.0,0.0,90.0,8346616
VIETNAM,2020-04-04 17:30:18,240.0,0.0,90.0,8357418
VIETNAM,2020-04-04 20:30:33,240.0,0.0,90.0,8368233
VIETNAM,2020-04-04 23:30:05,240.0,0.0,90.0,8379005
VIETNAM,2020-04-05 08:30:07,240.0,0.0,90.0,8411407
VIETNAM,2020-04-05 11:30:03,240.0,0.0,90.0,8422203
VIETNAM,2020-04-05 14:30:04,240.0,0.0,90.0,8433004
VIETNAM,2020-04-05 17:40:33,241.0,0.0,90.0,8444433
VIETNAM,2020-04-05 20:33:28,241.0,0.0,91.0,8454808
VIETNAM,2020-04-05 23:30:02,241.0,0.0,91.0,8465402
VIETNAM,2020-04-06 08:37:49,241.0,0.0,91.0,8498269
VIETNAM,2020-04-06 11:30:05,241.0,0.0,91.0,8508605
VIETNAM,2020-04-06 14:44:21,241.0,0.0,95.0,8520261
VIETNAM,2020-04-06 17:30:04,245.0,0.0,95.0,8530204
VIETNAM,2020-04-06 21:00:44,245.0,0.0,95.0,8542844
VIETNAM,2020-04-07 00:00:03,245.0,0.0,95.0,8553603
VIETNAM,2020-04-07 09:00:04,245.0,0.0,95.0,8586004
VIETNAM,2020-04-07 12:15:51,245.0,0.0,106.0,8597751
VIETNAM,2020-04-07 15:59:55,245.0,0.0,123.0,8611195
VIETNAM,2020-04-07 18:03:46,249.0,0.0,123.0,8618626
VIETNAM,2020-04-07 21:32:15,249.0,0.0,123.0,8631135
