Nation,Time,Confirmed Case,Death,Recover,timestamp
EL SALVADOR,2020-04-03 14:30:10,46.0,2.0,0.0,8260210
EL SALVADOR,2020-04-03 14:30:11,46.0,2.0,0.0,8260211
EL SALVADOR,2020-04-03 17:30:12,46.0,2.0,0.0,8271012
EL SALVADOR,2020-04-03 20:30:12,46.0,2.0,0.0,8281812
EL SALVADOR,2020-04-03 23:30:19,46.0,2.0,0.0,8292619
EL SALVADOR,2020-04-04 08:30:14,46.0,3.0,0.0,8325014
EL SALVADOR,2020-04-04 11:30:14,46.0,3.0,0.0,8335814
EL SALVADOR,2020-04-04 14:30:16,56.0,3.0,0.0,8346616
EL SALVADOR,2020-04-04 17:30:18,56.0,3.0,0.0,8357418
EL SALVADOR,2020-04-04 20:30:33,56.0,3.0,0.0,8368233
EL SALVADOR,2020-04-04 23:30:05,56.0,3.0,0.0,8379005
EL SALVADOR,2020-04-05 08:30:07,56.0,3.0,2.0,8411407
EL SALVADOR,2020-04-05 11:30:03,62.0,3.0,2.0,8422203
EL SALVADOR,2020-04-05 14:30:04,62.0,3.0,2.0,8433004
EL SALVADOR,2020-04-05 17:40:33,62.0,3.0,2.0,8444433
EL SALVADOR,2020-04-05 20:33:28,62.0,3.0,2.0,8454808
EL SALVADOR,2020-04-05 23:30:02,62.0,3.0,2.0,8465402
EL SALVADOR,2020-04-06 08:37:49,62.0,3.0,2.0,8498269
EL SALVADOR,2020-04-06 11:30:05,69.0,3.0,2.0,8508605
EL SALVADOR,2020-04-06 14:44:21,69.0,3.0,2.0,8520261
EL SALVADOR,2020-04-06 17:30:04,69.0,3.0,2.0,8530204
EL SALVADOR,2020-04-06 21:00:44,69.0,3.0,2.0,8542844
EL SALVADOR,2020-04-07 00:00:03,69.0,4.0,5.0,8553603
EL SALVADOR,2020-04-07 09:00:04,78.0,4.0,5.0,8586004
EL SALVADOR,2020-04-07 12:15:51,78.0,4.0,5.0,8597751
EL SALVADOR,2020-04-07 15:59:55,78.0,4.0,5.0,8611195
EL SALVADOR,2020-04-07 18:03:46,78.0,4.0,5.0,8618626
EL SALVADOR,2020-04-07 21:32:15,78.0,4.0,5.0,8631135
EL SALVADOR,2020-04-08 00:00:04,78.0,4.0,5.0,8640004
EL SALVADOR,2020-04-08 09:00:46,78.0,4.0,5.0,8672446
EL SALVADOR,2020-04-08 12:21:18,93.0,5.0,9.0,8684478
EL SALVADOR,2020-04-08 15:04:46,93.0,5.0,9.0,8694286
EL SALVADOR,2020-04-08 18:11:16,93.0,5.0,9.0,8705476
EL SALVADOR,2020-04-08 21:33:56,93.0,5.0,9.0,8717636
EL SALVADOR,2020-04-09 00:14:12,93.0,5.0,9.0,8727252
EL SALVADOR,2020-04-09 11:19:24,103.0,5.0,10.0,8767164
EL SALVADOR,2020-04-09 12:07:24,103.0,5.0,10.0,8770044
EL SALVADOR,2020-04-09 14:57:09,103.0,5.0,10.0,8780229
EL SALVADOR,2020-04-09 18:00:02,103.0,5.0,10.0,8791202
EL SALVADOR,2020-04-10 01:06:14,103.0,5.0,10.0,8816774
EL SALVADOR,2020-04-10 09:04:46,103.0,6.0,14.0,8845486
EL SALVADOR,2020-04-10 12:09:17,117.0,6.0,15.0,8856557
EL SALVADOR,2020-04-10 14:55:51,117.0,6.0,15.0,8866551
EL SALVADOR,2020-04-10 18:41:05,117.0,6.0,15.0,8880065
EL SALVADOR,2020-04-10 21:59:17,117.0,6.0,15.0,8891957
EL SALVADOR,2020-04-11 00:00:34,117.0,6.0,15.0,8899234
EL SALVADOR,2020-04-11 09:01:32,117.0,6.0,15.0,8931692
EL SALVADOR,2020-04-11 12:08:24,118.0,6.0,19.0,8942904
EL SALVADOR,2020-04-11 17:00:40,118.0,6.0,19.0,8960440
EL SALVADOR,2020-04-11 18:12:28,118.0,6.0,19.0,8964748
EL SALVADOR,2020-04-11 21:44:19,118.0,6.0,19.0,8977459
EL SALVADOR,2020-04-11 23:59:29,118.0,6.0,19.0,8985569
EL SALVADOR,2020-04-12 09:00:42,118.0,6.0,19.0,9018042
EL SALVADOR,2020-04-12 12:05:42,124.0,6.0,19.0,9029142
EL SALVADOR,2020-04-12 15:09:25,125.0,6.0,21.0,9040165
EL SALVADOR,2020-04-12 18:22:01,125.0,6.0,21.0,9051721
EL SALVADOR,2020-04-12 20:59:25,125.0,6.0,21.0,9061165
EL SALVADOR,2020-04-13 00:07:13,125.0,6.0,21.0,9072433
EL SALVADOR,2020-04-13 09:26:16,125.0,6.0,21.0,9105976
EL SALVADOR,2020-04-13 11:59:14,137.0,6.0,22.0,9115154
EL SALVADOR,2020-04-13 15:13:01,137.0,6.0,22.0,9126781
EL SALVADOR,2020-04-13 20:23:47,137.0,6.0,22.0,9145427
EL SALVADOR,2020-04-13 21:01:27,137.0,6.0,22.0,9147687
EL SALVADOR,2020-04-14 00:30:40,137.0,6.0,22.0,9160240
EL SALVADOR,2020-04-14 09:09:09,137.0,6.0,22.0,9191349
EL SALVADOR,2020-04-14 12:13:23,149.0,6.0,22.0,9202403
EL SALVADOR,2020-04-14 15:49:28,149.0,6.0,25.0,9215368
EL SALVADOR,2020-04-14 18:27:14,149.0,6.0,25.0,9224834
EL SALVADOR,2020-04-14 21:18:50,149.0,6.0,25.0,9235130
EL SALVADOR,2020-04-15 00:07:14,149.0,6.0,25.0,9245234
EL SALVADOR,2020-04-15 09:00:09,149.0,6.0,25.0,9277209
EL SALVADOR,2020-04-15 14:56:18,159.0,6.0,30.0,9298578
EL SALVADOR,2020-04-15 19:52:38,159.0,6.0,30.0,9316358
EL SALVADOR,2020-04-15 21:18:33,159.0,6.0,30.0,9321513
EL SALVADOR,2020-04-16 00:51:15,159.0,6.0,30.0,9334275
EL SALVADOR,2020-04-16 09:04:51,159.0,6.0,30.0,9363891
EL SALVADOR,2020-04-16 12:05:08,164.0,6.0,33.0,9374708
EL SALVADOR,2020-04-16 14:57:08,164.0,6.0,33.0,9385028
EL SALVADOR,2020-04-16 17:58:25,164.0,6.0,33.0,9395905
EL SALVADOR,2020-04-16 22:41:20,164.0,6.0,33.0,9412880
EL SALVADOR,2020-04-17 01:32:36,164.0,6.0,33.0,9423156
EL SALVADOR,2020-04-17 09:11:04,164.0,6.0,33.0,9450664
EL SALVADOR,2020-04-17 12:02:01,177.0,7.0,33.0,9460921
EL SALVADOR,2020-04-17 14:56:35,177.0,7.0,33.0,9471395
EL SALVADOR,2020-04-17 18:39:21,177.0,7.0,33.0,9484761
EL SALVADOR,2020-04-17 22:45:21,177.0,7.0,38.0,9499521
EL SALVADOR,2020-04-18 08:54:14,177.0,7.0,38.0,9536054
EL SALVADOR,2020-04-18 13:55:54,190.0,7.0,43.0,9554154
EL SALVADOR,2020-04-18 15:41:06,190.0,7.0,43.0,9560466
EL SALVADOR,2020-04-18 18:03:48,190.0,7.0,43.0,9569028
EL SALVADOR,2020-04-19 00:17:39,190.0,7.0,43.0,9591459
EL SALVADOR,2020-04-19 09:10:08,190.0,7.0,43.0,9623408
EL SALVADOR,2020-04-19 15:11:32,201.0,7.0,44.0,9645092
EL SALVADOR,2020-04-19 18:07:21,201.0,7.0,44.0,9655641
EL SALVADOR,2020-04-19 21:01:51,201.0,7.0,44.0,9666111
EL SALVADOR,2020-04-20 00:00:38,201.0,7.0,44.0,9676838
EL SALVADOR,2020-04-20 12:46:45,218.0,7.0,46.0,9722805
EL SALVADOR,2020-04-20 15:15:13,218.0,7.0,46.0,9731713
EL SALVADOR,2020-04-20 18:00:55,218.0,7.0,46.0,9741655
EL SALVADOR,2020-04-20 20:51:26,218.0,7.0,46.0,9751886
EL SALVADOR,2020-04-20 23:57:35,218.0,7.0,46.0,9763055
EL SALVADOR,2020-04-21 12:05:06,225.0,7.0,48.0,9806706
EL SALVADOR,2020-04-21 18:05:54,225.0,7.0,48.0,9828354
EL SALVADOR,2020-04-21 20:56:52,225.0,7.0,48.0,9838612
EL SALVADOR,2020-04-22 10:13:50,225.0,7.0,48.0,9886430
EL SALVADOR,2020-04-22 12:01:15,225.0,7.0,48.0,9892875
EL SALVADOR,2020-04-22 15:04:35,237.0,7.0,63.0,9903875
EL SALVADOR,2020-04-23 00:41:34,237.0,7.0,63.0,9938494
EL SALVADOR,2020-04-23 11:00:28,237.0,8.0,63.0,9975628
EL SALVADOR,2020-04-23 18:09:30,250.0,8.0,67.0,10001370
EL SALVADOR,2020-04-23 21:15:10,250.0,8.0,67.0,10012510
EL SALVADOR,2020-04-24 12:38:27,261.0,8.0,67.0,10067907
EL SALVADOR,2020-04-24 15:07:01,261.0,8.0,72.0,10076821
EL SALVADOR,2020-04-24 18:05:08,261.0,8.0,72.0,10087508
EL SALVADOR,2020-04-25 01:24:20,261.0,8.0,72.0,10113860
EL SALVADOR,2020-04-25 10:29:29,274.0,8.0,75.0,10146569
EL SALVADOR,2020-04-25 13:06:30,274.0,8.0,75.0,10155990
EL SALVADOR,2020-04-25 15:13:19,274.0,8.0,75.0,10163599
EL SALVADOR,2020-04-25 18:05:53,274.0,8.0,75.0,10173953
EL SALVADOR,2020-04-26 00:02:26,274.0,8.0,75.0,10195346
EL SALVADOR,2020-04-26 10:30:36,298.0,8.0,83.0,10233036
EL SALVADOR,2020-04-26 14:00:20,298.0,8.0,83.0,10245620
EL SALVADOR,2020-04-26 15:00:26,298.0,8.0,83.0,10249226
EL SALVADOR,2020-04-26 18:04:29,298.0,8.0,83.0,10260269
EL SALVADOR,2020-04-26 20:55:24,298.0,8.0,83.0,10270524
EL SALVADOR,2020-04-27 01:26:23,298.0,8.0,83.0,10286783
EL SALVADOR,2020-04-27 12:02:22,323.0,8.0,89.0,10324942
EL SALVADOR,2020-04-27 18:28:29,323.0,8.0,89.0,10348109
EL SALVADOR,2020-04-27 23:10:06,323.0,8.0,89.0,10365006
EL SALVADOR,2020-04-28 00:52:18,323.0,8.0,89.0,10371138
EL SALVADOR,2020-04-28 12:28:54,345.0,8.0,97.0,10412934
EL SALVADOR,2020-04-29 00:05:46,345.0,8.0,97.0,10454746
EL SALVADOR,2020-04-29 11:12:43,345.0,9.0,97.0,10494763
EL SALVADOR,2020-04-29 13:02:52,377.0,9.0,106.0,10501372
EL SALVADOR,2020-04-29 15:08:24,377.0,9.0,106.0,10508904
EL SALVADOR,2020-04-29 18:09:12,377.0,9.0,106.0,10519752
EL SALVADOR,2020-04-29 21:32:47,377.0,9.0,106.0,10531967
EL SALVADOR,2020-04-30 00:17:29,377.0,9.0,106.0,10541849
EL SALVADOR,2020-04-30 09:21:28,377.0,9.0,106.0,10574488
EL SALVADOR,2020-04-30 12:29:51,395.0,9.0,118.0,10585791
EL SALVADOR,2020-04-30 15:13:47,395.0,9.0,118.0,10595627
EL SALVADOR,2020-05-01 00:05:16,395.0,9.0,118.0,10713916
EL SALVADOR,2020-05-01 10:41:27,424.0,10.0,124.0,10752087
EL SALVADOR,2020-05-01 11:53:59,424.0,10.0,124.0,10756439
EL SALVADOR,2020-05-01 15:33:11,424.0,10.0,124.0,10769591
EL SALVADOR,2020-05-01 17:55:59,424.0,10.0,124.0,10778159
EL SALVADOR,2020-05-01 21:26:40,424.0,10.0,124.0,10790800
EL SALVADOR,2020-05-02 00:11:13,424.0,10.0,124.0,10800673
EL SALVADOR,2020-05-02 09:45:39,424.0,10.0,124.0,10835139
EL SALVADOR,2020-05-02 12:46:52,446.0,10.0,138.0,10846012
EL SALVADOR,2020-05-02 15:00:02,446.0,10.0,138.0,10854002
EL SALVADOR,2020-05-02 18:00:30,446.0,10.0,138.0,10864830
EL SALVADOR,2020-05-03 00:04:29,446.0,10.0,138.0,10886669
EL SALVADOR,2020-05-03 11:56:15,446.0,11.0,141.0,10929375
EL SALVADOR,2020-05-03 15:05:11,490.0,11.0,156.0,10940711
EL SALVADOR,2020-05-03 17:57:14,490.0,11.0,156.0,10951034
EL SALVADOR,2020-05-03 21:09:20,490.0,11.0,156.0,10962560
EL SALVADOR,2020-05-03 23:58:14,490.0,11.0,156.0,10972694
EL SALVADOR,2020-05-04 15:08:30,555.0,12.0,180.0,11027310
EL SALVADOR,2020-05-04 18:37:54,555.0,12.0,180.0,11039874
EL SALVADOR,2020-05-04 23:58:07,555.0,12.0,180.0,11059087
EL SALVADOR,2020-05-05 01:13:37,555.0,12.0,180.0,11063617
EL SALVADOR,2020-05-05 13:08:43,587.0,13.0,201.0,11106523
EL SALVADOR,2020-05-05 15:01:21,587.0,13.0,201.0,11113281
EL SALVADOR,2020-05-05 21:05:55,587.0,13.0,201.0,11135155
EL SALVADOR,2020-05-06 00:00:44,587.0,13.0,201.0,11145644
EL SALVADOR,2020-05-06 12:01:14,587.0,14.0,205.0,11188874
EL SALVADOR,2020-05-06 18:00:04,633.0,14.0,219.0,11210404
EL SALVADOR,2020-05-07 00:14:11,633.0,15.0,219.0,11232851
EL SALVADOR,2020-05-07 11:57:25,695.0,15.0,245.0,11275045
EL SALVADOR,2020-05-07 15:00:03,695.0,15.0,245.0,11286003
EL SALVADOR,2020-05-07 18:26:51,695.0,15.0,245.0,11298411
EL SALVADOR,2020-05-07 23:58:31,695.0,15.0,245.0,11318311
EL SALVADOR,2020-05-08 12:02:06,742.0,15.0,257.0,11361726
EL SALVADOR,2020-05-08 15:12:55,742.0,15.0,257.0,11373175
EL SALVADOR,2020-05-08 18:26:19,742.0,15.0,257.0,11384779
EL SALVADOR,2020-05-08 21:29:34,742.0,15.0,257.0,11395774
EL SALVADOR,2020-05-09 00:43:24,742.0,16.0,257.0,11407404
EL SALVADOR,2020-05-09 13:13:55,784.0,16.0,276.0,11452435
EL SALVADOR,2020-05-09 15:22:29,784.0,16.0,276.0,11460149
EL SALVADOR,2020-05-09 18:00:02,784.0,16.0,276.0,11469602
EL SALVADOR,2020-05-10 00:44:24,784.0,16.0,276.0,11493864
EL SALVADOR,2020-05-10 12:00:15,889.0,17.0,293.0,11534415
EL SALVADOR,2020-05-10 15:09:02,889.0,17.0,293.0,11545742
EL SALVADOR,2020-05-10 22:50:52,889.0,17.0,293.0,11573452
EL SALVADOR,2020-05-10 23:59:01,889.0,17.0,293.0,11577541
EL SALVADOR,2020-05-11 10:34:59,958.0,17.0,325.0,11615699
EL SALVADOR,2020-05-11 14:55:28,958.0,17.0,325.0,11631328
EL SALVADOR,2020-05-11 19:31:25,958.0,17.0,325.0,11647885
EL SALVADOR,2020-05-11 21:00:14,958.0,17.0,325.0,11653214
EL SALVADOR,2020-05-12 01:00:51,958.0,18.0,325.0,11667651
EL SALVADOR,2020-05-12 10:08:26,958.0,18.0,325.0,11700506
EL SALVADOR,2020-05-12 12:02:54,998.0,18.0,349.0,11707374
EL SALVADOR,2020-05-12 15:00:02,998.0,18.0,349.0,11718002
EL SALVADOR,2020-05-12 17:58:36,998.0,18.0,349.0,11728716
EL SALVADOR,2020-05-12 21:01:11,998.0,18.0,349.0,11739671
EL SALVADOR,2020-05-12 23:56:29,998.0,18.0,349.0,11750189
EL SALVADOR,2020-05-13 10:34:40,998.0,20.0,349.0,11788480
EL SALVADOR,2020-05-13 12:00:02,1037.0,20.0,374.0,11793602
EL SALVADOR,2020-05-13 16:27:08,1037.0,20.0,374.0,11809628
EL SALVADOR,2020-05-13 21:00:25,1037.0,20.0,374.0,11826025
EL SALVADOR,2020-05-14 00:30:12,1037.0,20.0,374.0,11838612
EL SALVADOR,2020-05-14 12:01:47,1037.0,20.0,374.0,11880107
EL SALVADOR,2020-05-14 15:54:36,1112.0,20.0,405.0,11894076
EL SALVADOR,2020-05-14 19:05:05,1112.0,20.0,405.0,11905505
EL SALVADOR,2020-05-14 20:56:04,1112.0,20.0,405.0,11912164
EL SALVADOR,2020-05-15 01:21:38,1112.0,20.0,405.0,11928098
EL SALVADOR,2020-05-15 12:16:09,1210.0,23.0,416.0,11967369
EL SALVADOR,2020-05-15 15:26:20,1210.0,23.0,416.0,11978780
EL SALVADOR,2020-05-15 17:53:43,1210.0,23.0,416.0,11987623
EL SALVADOR,2020-05-15 21:00:16,1210.0,23.0,416.0,11998816
EL SALVADOR,2020-05-15 23:56:42,1210.0,23.0,416.0,12009402
EL SALVADOR,2020-05-16 12:26:00,1265.0,25.0,441.0,12054360
EL SALVADOR,2020-05-16 17:05:26,1265.0,25.0,441.0,12071126
EL SALVADOR,2020-05-16 18:40:21,1265.0,25.0,441.0,12076821
EL SALVADOR,2020-05-16 23:58:26,1265.0,25.0,441.0,12095906
EL SALVADOR,2020-05-17 12:00:02,1265.0,26.0,443.0,12139202
EL SALVADOR,2020-05-17 14:58:45,1338.0,27.0,462.0,12149925
EL SALVADOR,2020-05-17 18:48:59,1338.0,27.0,462.0,12163739
EL SALVADOR,2020-05-17 21:23:35,1338.0,27.0,462.0,12173015
EL SALVADOR,2020-05-18 00:05:04,1338.0,27.0,462.0,12182704
EL SALVADOR,2020-05-18 12:02:55,1338.0,30.0,464.0,12225775
EL SALVADOR,2020-05-18 15:32:44,1413.0,30.0,474.0,12238364
EL SALVADOR,2020-05-18 18:17:04,1413.0,30.0,474.0,12248224
EL SALVADOR,2020-05-18 21:14:07,1413.0,30.0,474.0,12258847
EL SALVADOR,2020-05-18 23:56:07,1413.0,30.0,474.0,12268567
EL SALVADOR,2020-05-19 11:30:38,1413.0,30.0,474.0,12310238
EL SALVADOR,2020-05-19 16:31:59,1498.0,30.0,502.0,12328319
EL SALVADOR,2020-05-19 19:06:49,1498.0,30.0,502.0,12337609
EL SALVADOR,2020-05-19 21:27:31,1498.0,30.0,502.0,12346051
EL SALVADOR,2020-05-19 23:57:27,1498.0,30.0,502.0,12355047
EL SALVADOR,2020-05-20 12:03:00,1571.0,31.0,531.0,12398580
EL SALVADOR,2020-05-20 14:57:38,1571.0,31.0,531.0,12409058
EL SALVADOR,2020-05-20 17:44:53,1571.0,31.0,531.0,12419093
EL SALVADOR,2020-05-20 21:15:28,1571.0,31.0,531.0,12431728
EL SALVADOR,2020-05-21 00:14:36,1571.0,31.0,531.0,12442476
EL SALVADOR,2020-05-21 09:38:15,1571.0,32.0,537.0,12476295
EL SALVADOR,2020-05-21 12:11:17,1571.0,32.0,537.0,12485477
EL SALVADOR,2020-05-21 14:59:56,1640.0,32.0,540.0,12495596
EL SALVADOR,2020-05-21 21:24:22,1640.0,32.0,540.0,12518662
EL SALVADOR,2020-05-22 00:00:02,1640.0,32.0,540.0,12528002
EL SALVADOR,2020-05-22 10:37:17,1640.0,33.0,544.0,12566237
EL SALVADOR,2020-05-22 12:36:18,1725.0,33.0,562.0,12573378
EL SALVADOR,2020-05-22 16:06:00,1725.0,33.0,562.0,12585960
EL SALVADOR,2020-05-22 18:00:02,1725.0,33.0,562.0,12592802
EL SALVADOR,2020-05-22 21:00:09,1725.0,33.0,562.0,12603609
EL SALVADOR,2020-05-23 01:20:34,1725.0,33.0,562.0,12619234
EL SALVADOR,2020-05-23 12:07:16,1725.0,33.0,570.0,12658036
EL SALVADOR,2020-05-23 18:09:53,1819.0,33.0,570.0,12679793
EL SALVADOR,2020-05-23 22:02:48,1819.0,33.0,570.0,12693768
EL SALVADOR,2020-05-24 00:00:02,1819.0,33.0,570.0,12700802
EL SALVADOR,2020-05-24 12:54:52,1819.0,35.0,575.0,12747292
EL SALVADOR,2020-05-24 16:07:25,1819.0,35.0,575.0,12758845
EL SALVADOR,2020-05-24 18:12:44,1819.0,35.0,575.0,12766364
EL SALVADOR,2020-05-24 22:29:08,1915.0,35.0,594.0,12781748
EL SALVADOR,2020-05-25 01:32:08,1915.0,35.0,594.0,12792728
EL SALVADOR,2020-05-25 09:46:16,1915.0,35.0,669.0,12822376
EL SALVADOR,2020-05-25 12:12:38,1983.0,35.0,698.0,12831158
EL SALVADOR,2020-05-25 15:12:03,1983.0,35.0,698.0,12841923
EL SALVADOR,2020-05-25 18:41:27,1983.0,35.0,698.0,12854487
EL SALVADOR,2020-05-25 21:51:14,1983.0,35.0,698.0,12865874
EL SALVADOR,2020-05-26 01:53:29,1983.0,35.0,698.0,12880409
EL SALVADOR,2020-05-26 12:00:25,2042.0,36.0,787.0,12916825
EL SALVADOR,2020-05-26 16:13:04,2042.0,36.0,787.0,12931984
EL SALVADOR,2020-05-26 18:02:31,2042.0,36.0,787.0,12938551
EL SALVADOR,2020-05-26 20:52:11,2042.0,36.0,787.0,12948731
EL SALVADOR,2020-05-27 00:00:03,2042.0,36.0,787.0,12960003
EL SALVADOR,2020-05-27 12:10:26,2109.0,37.0,873.0,13003826
EL SALVADOR,2020-05-27 15:19:50,2109.0,37.0,873.0,13015190
EL SALVADOR,2020-05-27 18:03:01,2109.0,37.0,873.0,13024981
EL SALVADOR,2020-05-27 21:01:30,2109.0,37.0,873.0,13035690
EL SALVADOR,2020-05-28 00:11:23,2109.0,37.0,873.0,13047083
EL SALVADOR,2020-05-28 12:23:58,2194.0,39.0,1002.0,13091038
EL SALVADOR,2020-05-28 15:04:04,2194.0,39.0,1002.0,13100644
EL SALVADOR,2020-05-28 18:07:10,2194.0,39.0,1002.0,13111630
EL SALVADOR,2020-05-28 21:31:41,2194.0,39.0,1002.0,13123901
EL SALVADOR,2020-05-29 00:02:56,2194.0,39.0,1002.0,13132976
EL SALVADOR,2020-05-29 12:00:02,2194.0,42.0,1015.0,13176002
EL SALVADOR,2020-05-29 16:46:05,2278.0,42.0,1015.0,13193165
EL SALVADOR,2020-05-29 18:02:28,2278.0,42.0,1015.0,13197748
EL SALVADOR,2020-05-30 00:23:37,2278.0,42.0,1015.0,13220617
EL SALVADOR,2020-05-30 12:00:30,2278.0,43.0,1017.0,13262430
EL SALVADOR,2020-05-30 14:57:57,2395.0,44.0,1026.0,13273077
EL SALVADOR,2020-05-30 18:01:15,2395.0,44.0,1026.0,13284075
EL SALVADOR,2020-05-30 21:15:16,2395.0,44.0,1026.0,13295716
EL SALVADOR,2020-05-31 00:03:50,2395.0,44.0,1026.0,13305830
EL SALVADOR,2020-05-31 12:36:25,2517.0,46.0,1040.0,13350985
EL SALVADOR,2020-05-31 18:05:35,2517.0,46.0,1040.0,13370735
EL SALVADOR,2020-05-31 21:20:54,2517.0,46.0,1040.0,13382454
EL SALVADOR,2020-06-01 00:28:04,2517.0,46.0,1040.0,13393684
EL SALVADOR,2020-06-01 12:03:29,2517.0,46.0,1040.0,13435409
EL SALVADOR,2020-06-01 16:16:43,2582.0,46.0,1063.0,13450603
EL SALVADOR,2020-06-01 18:23:34,2582.0,46.0,1063.0,13458214
EL SALVADOR,2020-06-01 20:51:21,2582.0,46.0,1063.0,13467081
EL SALVADOR,2020-06-02 00:00:03,2582.0,46.0,1063.0,13478403
EL SALVADOR,2020-06-02 12:00:47,2582.0,46.0,1083.0,13521647
EL SALVADOR,2020-06-02 15:02:31,2582.0,46.0,1083.0,13532551
EL SALVADOR,2020-06-02 18:03:06,2653.0,46.0,1116.0,13543386
EL SALVADOR,2020-06-02 21:04:58,2653.0,46.0,1116.0,13554298
EL SALVADOR,2020-06-03 00:09:31,2653.0,46.0,1116.0,13565371
EL SALVADOR,2020-06-03 12:06:19,2653.0,49.0,1160.0,13608379
EL SALVADOR,2020-06-03 18:03:19,2705.0,49.0,1179.0,13629799
EL SALVADOR,2020-06-03 21:00:07,2705.0,49.0,1179.0,13640407
EL SALVADOR,2020-06-03 23:57:12,2705.0,49.0,1179.0,13651032
EL SALVADOR,2020-06-04 12:06:55,2705.0,51.0,1186.0,13694815
EL SALVADOR,2020-06-04 15:08:37,2781.0,51.0,1208.0,13705717
EL SALVADOR,2020-06-04 18:03:06,2781.0,51.0,1208.0,13716186
EL SALVADOR,2020-06-04 22:08:43,2781.0,51.0,1208.0,13730923
EL SALVADOR,2020-06-05 00:03:48,2781.0,51.0,1208.0,13737828
EL SALVADOR,2020-06-05 09:56:47,2781.0,52.0,1214.0,13773407
EL SALVADOR,2020-06-05 12:05:36,2781.0,52.0,1214.0,13781136
EL SALVADOR,2020-06-05 15:53:59,2849.0,53.0,1249.0,13794839
EL SALVADOR,2020-06-05 18:09:10,2849.0,53.0,1249.0,13802950
EL SALVADOR,2020-06-05 21:28:56,2849.0,53.0,1249.0,13814936
EL SALVADOR,2020-06-06 00:16:06,2849.0,53.0,1249.0,13824966
EL SALVADOR,2020-06-06 10:04:52,2849.0,53.0,1249.0,13860292
EL SALVADOR,2020-06-06 13:35:43,2849.0,53.0,1249.0,13872943
EL SALVADOR,2020-06-06 16:16:15,2934.0,53.0,1281.0,13882575
EL SALVADOR,2020-06-06 18:01:57,2934.0,53.0,1281.0,13888917
EL SALVADOR,2020-06-06 21:08:29,2934.0,53.0,1281.0,13900109
EL SALVADOR,2020-06-07 00:01:41,2934.0,53.0,1281.0,13910501
EL SALVADOR,2020-06-07 10:03:49,2934.0,53.0,1282.0,13946629
